"text","is_fake"
"The SDP pushed for reform of the immigration policy which it says allows in too many foreign workers into Singapore to displace local PMETs.
The party made this proposal when it launched its alternative population and immigration policy Building A People: Sound Policies For A Secure Future at its office in Ang Mo Kio this afternoon.
The proposals, introduced by a new face in the party Ms Joyce Tan, would take a more measured approach towards allowing foreigners to work in Singapore.
One idea is to adopt a points-based system called the Talent Track Scheme where foreign PMETS wishing to work in Singapore have to apply to. The applications will be assessed based on their qualifications, skills, and experience.
Only those who meet the required number of points will qualify for a list of potential employees.
Employers will then be allowed to hire foreigners from this pool but will have to demonstrate that no Singaporean is available or qualifies for the position before that.
“This will prevent firms hiring foreigners based solely on their ability to accept lower wages,” said Ms Tan, a communications professional who has held executive positions in local and international corporations. She currently works in a regional company.
The SDP’s proposal comes amidst a rising proportion of Singapore PMETs getting retrenched. Such a trend is partly the result of hundreds of local companies continuing to discriminate against local workers.
Ms Tan also took issue with the idea that Singapore can accommodate a 10 million population. The idea was raised by Mr Heng Swee Keat recently.
With a population density that is one of the highest in the world, Singapore can ill-afford to grow a population of 10 million by bringing in more foreigners.
As it is, Singaporeans are one of the unhappiest and most stressed out workers in the world. By not taking into consideration the physical and mental well-being of the people, the PAP’s current approach of cramming more foreigners onto this island is counter-productive.
CEC member Mr Khung Wai Yeen, who presented the policy with Ms Tan, pointed this out. He also noted the low birthrate and high emigration rate that is causing the Singaporean population to shrink.
He cited the high cost of living and stressful lifestyle as causes of younger Singaporeans leaving the country or having fewer children.
To address this problem, the SDP has proposed a 10-point plan under another policy A Better Life For All: Keeping The Cost Of Living In Singapore Affordable to make Singapore less expensive.
“Raising taxes and fees on a slew of items in the last couple of years makes Singapore even more expensive and, hence, exacerbates the problem of a shrinking population,” Ms Tan pointed out. “This is why the raising of the GST to 9 percent from the current 7 percent is a bad idea.”
One suggestion in the proposal is to abolish the GST for basic necessities like food, medicine and school supplies.
It points out that the intent of the PAP is to increase GDP growth at all cost, adding that it is misguided for the Government to think that having a larger population, even one made up of a disproportionate number of foreigners, will achieve this goal.
A large population, the SDP says, achieved at the expense of the well-being of Singaporeans is a recipe for disaster. Not only does it hurt the people but it will make Singaporeans even more alienated and disengaged from society.
The party has therefore proposed using the Genuine Progress Index (GPI) which measures economic progress by also taking into consideration social and environmental factors.
The alternative also proposes the removal of race identity in our Identity Cards as this serves only to divide Singaporeans when we should be fostering one single Singaporean identity.
The SDP has previously launched other alternative policies in housing and healthcare.",1
"PAP spends $167 million on grants and bursaries for Singaporeans but $238 million on foreign students.",1
"Extremely disturbing allegations in this press statement. Information related to the use of the death penalty is difficult to get from the Singapore Prison Service or the Ministry of Home Affairs, but this is a huge matter that needs to be addressed. And there should be more openness and transparency about how capital punishment is administered in Singapore in general. 
“We received this information from a Singapore Prison Services (SPS) officer who had served at the execution chamber in Changi prison, and himself carried out hangings.
This officer is prepared to come forward and testify at the appropriate forum. His evidence follows below:
He and other prison officers were instructed to carry out the following brutal procedure whenever the rope breaks during a hanging, which happens from time to time.
a) The prison officer is instructed to pull the rope around the neck of the prisoner towards him.
b) Meanwhile, another prison officer will apply pressure by pulling the body in the opposite direction.
c) The first officer must then kick the back of the neck of the prisoner with great force in order to break it.
d) The officers are told to kick the back of the neck because that would be consistent with death by hanging.
e) The officers are told not to kick more than 2 times, so that there will be no tell-tale marks in case there is an autopsy.
f) Strict orders are also given not to divulge the above to other prison staff not involved in executions.
We have been informed that prison officers were given special training to carry out the above brutal execution method.”",1
"Singaporean executors kick and pull on inmates condemned to death by hanging to effectively kill them, Lawyers for Liberty alleged today when warning that Malaysian convicts there were at risk of the cruel punishment.
The rights group representing Malaysians sentenced to die in Singapore further alleged that it has eye-witness testimony from a Singaporean prison official who was willing to testify to this in an “appropriate forum”.
LFL adviser N. Surendran said his group was compelled to release these allegations today after the republic ignored attempts to raise such matters with the country’s officials.
Among others, he said the witness informed LFL that Singapore made its prison officers simultaneously yank on the rope by which condemned inmates are hanged while pulling down on their bodies.
This was compounded by forcibly kicking the back of the inmates’ necks to simulate hanging injuries.
The method is purportedly to ensure the hanging results in a broken spinal cord that would effectively result in death, Surendran said in a statement today that further asserted that such methods were specially taught to Singapore’s prison officials.
“This execution method is unlawful as the mode of execution prescribed by law is hanging by the neck, and not execution by brutal kicking of the neck.
“Every death row prisoner in Changi, including the Malaysians, is in danger of suffering this excruciating death, should the rope break during the hanging,” Surendran said.
Surendran added that executors were also told not to kick more than twice in order to avoid suspicious markings on the condemned inmates’ bodies and ordered not to discuss the alleged methods.
Such techniques were deceptive, unlawful, and in clear violation of Singapore’s constitutional protection against cruel and unusual punishments, he said.
The lawyer was also adamant that the alleged execution techniques were known to Singaporean officials including its home minister.
He clarified, however, that LFL did not know for certain how many Malaysians might have experienced such treatment when they were executed in Singapore.
The former Padang Serai MP then demanded Singapore halt further executions while it addresses these allegations and arranges to compensate the families of any who were killed in this alleged fashion.
“We further call upon the Malaysian government to take urgent steps to protect the safety and basic rights of all Malaysian prisoners now on death row in Singapore.”
LFL first alluded to these claims in November, after Singapore proceeded with the execution of Malaysian drug mule Abd Helmi Ab Halim for trafficking 16g of heroin.
Surendran and his group had represented Abd Helmi and clashed repeatedly with Singapore in their bid to prevent the execution.",1
"A single mother with six school-going children was evicted from her rental flat because of her inability to pay the rent.
Sharing her story and lending her assistance was socio-political activist Gilbert Goh, who visited her.
In replying to TISG’s queries, Mr Goh said that the woman, Lina, had six children aged as follows:14 years, 12 years, 9 years, 8 years, 5 years and 2 months.
Speaking to Mr Goh, she said, “We have been kicked out from our rental flat due to outstanding rental default. As for now we have been staying at my sister’s house”.
He added that she has just started work and has applied for ComCare Assistance from the Ministry of Social and Family Development.
However, she asked for assistance with food rations.
According to Mr Goh, the 32-year-old single-mother had used her savings to top-up her children’s EZ-Link cards for them to take the bus.
She said, “I dun have any savings to top up their ezlink card any more. Can you help my kids top up their ezlink as study is important?”
“My 2-month-old baby is also low on milk – she drinks milk soya not normal milk formula”, Lina added.
Mr Goh told TISG that after her husband left, “We have helped her before, a few years back, with the same situation. We also repainted her home and someone built a cabinet for her – but now she has lost her home. It looks like her situation is regressing”.
“We just hope that the assistance provided is more targeted as a huge family has been tough for her to manage”, he added.
Mr Goh and his team gave the woman a small ‘angpao’, as well as S$50 in supermarket vouchers. They also received groceries and food supplies from an anonymous donor.",1
"Under the Protection from Online Falsehoods and Manipulation Act (POFMA), the definition of “false” means that “even if one bit is found to be wrong or misleading, the whole statement can be considered false. The definition is so broad that the omission of a fact, accidentally or otherwise, is sufficient for something to be considered misleading. The problem is, it’s impossible to include every single fact about anything in the statement. You can’t! And even if you could, anyone could selectively quote it, so that what they quote is misleading. So under this law, every statement can be considered false in some way”.
POFMA makes all criticisms of the Government illegal.
There is no recourse in law for the Court to overturn a POFMA direction if it is an abuse of the powers under POFMA.
POFMA “means that the truth will be whatever the party says it is”.
",1
"URA releases plans to build underground infrastructure ready for 10 million population.",1
"The Government was planning, or had intentions, to move towards 10 million population by 2030. Dr Cheong Koon Hean, Chief Executive Officer of the Housing & Development Board, had confirmed that our population would go up to about 10 million by 2030.",1
"MOM issued a statement to all the employers that if they brought their foreign workers for COVID-19 testing, they would lose their work pass privileges.
MOM actively discouraged the testing of workers.
MOM made these decisions without consulting public health medical professionals or MOH.
",1
"Could the ministerial committee in charge of tackling COVID-19 have lost their focus on public health and started thinking about the election in March? Infectious diseases expert and Singapore Democratic Party (SDP) chairman Paul Tambyah suggested this possibility at a forum on Friday night (Jul 3).
Dr Tambyah was sharing his views at the National University of Singapore Society (NUSS) Pre-General Election Forum 2020.
The forum, held in collaboration with Mothership, was moderated by former nominated Member of Parliament (MP) Viswa Sadasivan. Other speakers included were People's Power Party's Goh Meng Seng, Singapore Democratic Alliance's Harminder Pal Singh, Reform Party's Charles Yeo, Progress Singapore Party's Francis Yuen and Red Dot United's Michelle Lee.
Dr Tambyah, who was recently elected to be the president of the US-based International Society of Infectious Diseases (ISID), praised Singapore's initial handling of the pandemic, saying that he had given comments to CNA in January on the issue.
""I think it was widely acknowledged in January and February, Singapore handled the pandemic really well. We followed the basic principles of public health. You identify all cases, you identify their contacts, you do extensive testing, you quarantine the contacts, you isolate, identify and you prevent chains of transmission from occurring,"" he said. 
In February, Dr Tambyah said there was a cluster of COVID-19 cases involving Bangladeshi workers at the Seletar Aerospace Heights construction site, and this was also ""handled really well"", with identification of contacts, quarantine, and testing. 
""And then what happened was the employers started thinking, 'hey my workers are living in the same dormitory maybe you should bring them for testing'. 
""And then what happened was Ministry of Manpower issued a statement telling the employers they were not allowed to bring their workers for testing, and if they brought their workers for testing, they would lose their work pass privileges,"" said Dr Tambyah. 
He said that ""all hell broke loose"" in March, with people returning from the United States and Italy, and outbreaks in the dormitories. 
""I have an opinion as to why that happened, I don't know for sure. But you know that was the time they started talking about an early election. And you wonder whether the ministerial committee lost their focus on the public health and started thinking about the election,"" he said. 
""Like even today, we've got this cluster of cases in Tampines. And the head of the ministerial committee has to go to Marsiling to explain to people why they should vote for PAP even though Madam Halimah abandoned the constituents there,"" said Dr Tambyah. 
""He should be there in Tampines trying to sort out what's going on with the outbreak. So it's a huge distraction and we've argued that for a long time - that this distraction has actually hampered what was really going well, has just gone south.""
Dr Tambyah stressed that this has got ""nothing to do with the public health officials who are excellent professionals - the scientists, the nurses, the doctors"".
""A lot of this could have been done better and the consequences are devastating. We've got ... 44,000 people infected and they are invisible to the majority of Singaporeans but these are real people,"" he added.
Other topics discussed at the forum, which lasted more than two hours, included what the opposition candidates can offer and how they need to be in Parliament to deny the incumbent ""a blank cheque"".
SDA's chief media officer Mr Singh said he felt it was ""totally irresponsible"" for the PAP to have called an election at this time, but ""what is done is done"".
""And it is done because they have been unilaterally making decisions and being given a free cheque to make a decision, a blank cheque if I can use the word, and that's one of the main reasons ... that we need to see a more variety of colours in Parliament. We need to have the alternative parties, the opposition parties coming in because they have had a blank cheque for too long a period,"" said Mr Singh.
Reform Party's Mr Yeo urged electors to vote for ""each and every opposition party"", saying that ""political fragmentation"" is in the interest of Singaporeans.
All the political parties were invited to Friday's forum, but the People's Action Party, National Solidarity Party, Peoples Voice, Singapore People's Party and Workers' Party either declined or did not reply to the invite, said moderator Mr Sadasivan.
",1
