title,text,fake
Boon Lay slashing: Two men charged with causing hurt with a dangerous weapon,"SINGAPORE: Two men were charged on Saturday (Apr 9) with using bread knives to attack two victims at Boon Lay Drive. Muhammad Sajid Saleem, 20, and Niswan Thiruchelvam, 19, each face one charge of voluntarily causing grievous hurt with a dangerous weapon. They appeared in the State Courts via video-link from remand dressed in white shirts, and did not show any expression as they listened to the charges.  The judge ordered them to be remanded in prison for a week, with permission to be taken out for investigations and recovery of exhibits. They will return to court on Apr 14. The alleged attack on Wednesday was captured on videos and photos that were widely circulated on social media. Police said that they responded to multiple calls for assistance at Block 175, Boon Lay Drive at about 5pm on Wednesday. Two male victims aged 22 and 23 were taken to the hospital with multiple lacerations to their heads and limbs. The suspects were arrested in Woodlands on Thursday, after an islandwide manhunt. Preliminary investigations revealed that they were known to the victims. On Friday, the two suspects were escorted back to the car park where the attack allegedly took place to aid in investigations. They were flanked by plain clothes police officers, who asked them questions and also led them to a hair salon and two parks nearby. Videos of the aftermath of the attack seen by CNA showed the two men wielding their weapons in what appeared to be a car park. The men paced back and forth and were later seen running away, still holding the weapons. One of the victims appeared to have blood running down his face as he was attended to by another person. Those who voluntarily cause grievous hurt with a dangerous weapon can be jailed for life, or jailed for up to 15 years with a fine and caning.",0
Engineer dies after falling 30m at CapitaSpring building,"SINGAPORE: A 48-year-old engineer died on Friday morning (Apr 8) after falling seven storeys at the CapitaSpring building in the central business district. ""A 48-year-old local engineer was working on the maintenance level above the 16th floor of the building when she stepped on a false ceiling panel,"" a Ministry of Manpower (MOM) spokesperson said on Saturday. ""The panel gave way under her weight, causing her to fall about 30m. She landed on the ninth floor and was pronounced dead at the scene by paramedics. ""As a general safety measure, fragile surfaces should be marked clearly and conspicuously to warn of the risk of falling from height."" The Singapore Civil Defence Force said it received a call for assistance at about 11am on Friday, and the person was pronounced dead at the scene by a paramedic. The woman was an employee of Dragages Singapore, a contractor of CapitaSpring, said a spokesperson for the office building's management. ""We are saddened by the passing of an employee of our contractor Dragages Singapore due to an incident involving a fall from height in the building on Friday. Our thoughts are with the loved ones of our contractor's late employee and we are extending our assistance to the family,"" said CapitaSpring. “Workplace safety is of utmost importance to us and we require all contractors and vendors to use appropriate equipment and follow safety procedures. We are giving our full cooperation to the authorities in their investigations of the incident.""MOM said it is investigating the accident and has instructed the occupier of CapitaSpring, Ascott International Management, to stop all access to the maintenance level. This is the 11th workplace fatality this year and it follows several incidents last year involving falls from height, said the National Trades Union Congress' (NTUC) assistant secretary-general Melvin Yong. ""I’m deeply saddened to learn that another worker’s life was lost due to a fall from height,"" he said in a Facebook post on Saturday. ""We need to put in place specific measures quickly to prevent similar accidents from happening."" Mr Yong added that it is important for the building's design team to consciously assess the need for facilities maintenance activities in the void areas above any false ceiling panels.""Such panels are not typically load-bearing and there has to be specific ways designed to facilitate work required on top of these panels,"" he wrote. ""If any activities are required, then the design has to incorporate safe catwalks - ideally with reflective low light emitting tapes - and work platforms, to ensure such activities can be carried out safely and also to deter anyone from stepping on false ceiling panels. Proper risk assessment also has to be done prior to start of work.  ""This process is a shared responsibility for all stakeholders - developers, contractors or designers. I call on everyone to do our part, and learn from past accidents so that we prevent future ones from occurring."" CapitaSpring, located at 88 Market Street, is a new 51-storey integrated development that was completed in 2021. ",0
Singapore recalls three more Kinder chocolate products due to possible presence of salmonella,"SINGAPORE: A recall of Kinder chocolate has been extended to three additional products due to the possible presence of salmonella, the Singapore Food Agency (SFA) said on Friday (Apr 8). They are Kinder Mini Eggs, Kinder Egg Hunt Kit and Kinder Surprise Maxi from Belgium, SFA said. The affected products have a best before date between Apr 20 and Aug 21, 2022, the agency added. SFA said the latest recall follows a recall alert issued by the Food Safety Authority of Ireland for the products due to possible presence of salmonella - a pathogenic bacterium that can cause foodborne illnesses such as fever, abdominal cramps and diarrhoea. SFA has directed importers Redmart and Le Petit Depot to recall the products and the recall is ongoing. ""Consumers who have consumed the implicated products and have concerns about their health should seek medical advice. Consumers may contact the importers for enquiries,"" it said. SFA had earlier announced a recall of Kinder Surprise chocolate on Wednesday. On Friday, Belgian health authorities ordered Italian confectionery group Ferrero - which produces Kinder chocolates - to suspend production at its plant in Arlon, Belgium, after Europe’s health agency launched an investigation into dozens of cases of salmonella potentially linked to the chocolates.",0
"Singaporean Ix Shen returns to Ukraine, joins volunteer group to provide humanitarian aid","SINGAPORE: Singaporean Ix Shen is back in Ukraine to help in humanitarian efforts after he and his Ukrainian wife left the war-torn country for Poland last month. 
In an Instagram video posted on Friday (Apr 8), the former actor said he is in a ""safe place"" and will not be revealing his exact location in Ukraine for ""security reasons"". Mr Shen, who has been providing regular updates to CNA as the situation unfolds in Ukraine, said has joined a group of volunteers who provide humanitarian aid from Poland.
""So we stocked up the supplies in the vehicles, we drive across the border and redistribute them in different centres,"" said Mr Shen, adding that one of these centres is in the Ukrainian town of Bucha.
The town was occupied by Russian forces in the early days of the invasion, AFP reported. There have been allegations that Russian forces committed war crimes by executing civilians in Bucha, with Ukraine accusing Russia of carrying out a ""massacre"". The Kremlin has denied the allegations. ""I believe by now you should have heard of this place,"" said Mr Shen, referring to Bucha. ""This issue right now is being contested by different parties. Since I'm not an expert in putrefaction, I'm not qualified to comment."" Mr Shen added that ""truth always prevails because the same thing happened to us before"", pointing to the Sook Ching massacre, a Japanese military operation during the occupation that was aimed at purging anti-Japanese elements from the Chinese community in Singapore. ""Eighty years ago, also in the month of March, we had innocent civilians being slaughtered, and back then we didn't have forensic science,"" he said. ""Our forefathers paid such (a) heavy price and gave us such precious lessons. How can we not unturn our backs towards injustice?"" Ukrainian investigators on Friday began to exhume a mass grave in Bucha, opening the early stages of what police said will be a war crimes case targeting Russian troops who occupied the town.  The grave - a long deep trench in the mud behind a gold-domed church - was used by Ukrainians to bury neighbours they claim were killed at the hands of Russian armed forces that arrived on Feb 26.",0
Tanglin Halt Food Centre attack: 69-year-old man charged with using wooden stick with nail to hit victim,"SINGAPORE: A 69-year-old man was charged on Saturday (Apr 9) with voluntarily causing hurt after an incident at Tanglin Halt Food Centre that left a hawker injured. 
Peck Chuan Ann is accused of attacking Punnataro Wee Kai Xin with a 71cm-long wooden stick that had a nail protruding from it, according to the charge sheet. The investigation officer said in the charge sheet that the wooden stick with a nail was “used as a weapon of offence” and was “likely to cause death”. The victim was hit on the head and suffered a cut.
If convicted, Peck faces a jail term of up to seven years, a fine, or any combination of such punishments.
Peck, who has been remanded at the Institute of Mental Health for psychiatric observation, cannot be caned as he is over 50 years old.
He is set to return to court on Apr 22. On Friday, police said preliminary investigations revealed that Peck was known to Mr Wee, 51, and his girlfriend Ms Wang Wei, 54. They run a fish soup stall at Tanglin Halt Food Centre along Commonwealth Drive. The pair told CNA that they had just reopened the stall on Monday after taking a few months off since Ms Wang had been in hospital.
At about 7am, Mr Wee was seated outside the stall as he was cleaning and chopping vegetables while Ms Wang was inside the stall preparing fish. 
Ms Wang recounted that she heard a commotion, and turned around to see the perpetrator allegedly hitting Mr Wee with a wooden stick. 
She quickly rushed out of the stall and tried to grab the stick, with the man also allegedly hitting her several times on the head and arm.
A photograph of Mr Wee's injuries showed him bleeding profusely. When CNA visited Tanglin Halt Food Centre at about 4pm, bloodstains could be seen on the floor near Ms Wang and Mr Wee’s stall. ",0
"Driver and 2 passengers charged after trying to evade Tuas Checkpoint clearance, injuring ICA officer","SINGAPORE: A driver and two passengers were charged in the State Courts on Saturday (Apr 9) after crashing into the counters at Tuas Checkpoint while trying to evade departure clearance.
Singaporean Teo Thiam Leng, 46, the driver of the Malaysia-registered car, was charged with dangerous driving in the incident that took place early on Friday morning. He is accused of reversing his vehicle at the motorcycle arrival zone of Tuas Checkpoint and hitting an Immigrations and Checkpoints Authority (ICA) officer, causing hurt.
He was also given a charge of abetting the importation of 33g of methamphetamine into Singapore in 2016.
The court heard that Teo has a previous conviction for drug-related offences. In 2007, he was sentenced to five years' jail and five strokes of the cane for trafficking ketamine.
The ICA said on Friday that Teo was wanted by the police and Central Narcotics Bureau.
The two passengers, 35-year-old Chinese national Chen Songqing and 31-year-old Vietnamese national Ho Thi My Nhung, were each given one charge of criminal trespass. Teo and Ho have been remanded for investigations. Chen, who is in hospital, will also be remanded after his discharge. All three are set to return to court next week.
THE INCIDENT
The trio were arrested after trying to enter Singapore in the early hours of Friday morning.
According to the ICA, they evaded departure clearance at Malaysia's Komplex Sultan Abu Bakar at about 2.15am.

The car then sped towards Tuas Checkpoint while being pursued by Malaysia's Traffic Police. 
An auxiliary police officer deployed at the entrance of Tuas Checkpoint towards Malaysia spotted the speeding vehicle and activated the alarm, locking down the checkpoint. To ""circumvent"" the lockdown, ICA said the driver attempted to ""force his way into Singapore"" through the automated motorcycle clearance lanes.
""However, the lanes were too narrow and the vehicle was incapacitated after crashing into the counters,"" said the authority, adding that an ICA officer suffered an abrasion on his right ankle in the process.
Chen and Ho then tried to flee the scene on foot but were intercepted. Both were allegedly not in possession of valid travel documents.

Teo was also detained. He was allegedly in possession of a tampered Singapore passport, and tested positive for drug consumption in a preliminary urine test.
For dangerous driving causing hurt to another person, Teo could be jailed up to two years, fined up to S$10,000 or both. The penalties are increased if he is a repeat offender.  He also faces 10 to 30 years' jail and 10 to 15 strokes of the cane if convicted of abetting the importation of drugs. He is liable for enhanced punishment given his previous conviction.
The punishment for criminal trespass is jail for up to three months, a fine of up to S$1,500 or both.",0
Probation report called for man who molested 9-year-old niece while she feigned sleep,"SINGAPORE: A 22-year-old man admitted on Friday (Apr 8) to molesting his underaged niece about 10 times a year while she pretended to be asleep.
The offences happened from 2014 to 2017, when the victim was aged nine to 12 and the offender was about 15 to 18 years old. Their identities are protected by gag order. The judge ordered a probation suitability report after the man pleaded guilty to three counts of outraging the modesty of a minor.
Three more charges will be taken into consideration when he returns to court for sentencing next month.
The court heard that the victim and offender lived together with other family members from 2005 to 2020.
In 2014, the offender, the victim and the victim's brother were sleeping in the same room at home. The offender slept on the lower deck of a bunk bed, and the victim on a pull-out bed next to him.
One night, the victim woke up when she felt her uncle carrying her. He placed her face-down on his bed. He then removed her clothes and molested her.
After he was done, he cleaned the victim's body with a towel, put her clothes back on and placed her back on her bed.
The victim did not consent to the acts, said the prosecution. She pretended to be asleep the whole time as she was afraid of her uncle.
He continued to outrage her modesty in a similar manner over the years, carrying her to his bed while she feigned sleep as she was afraid.
On one occasion in 2017, he carried the victim to his room from the bed she was sharing with her grandmother. The victim woke up when he entered the room, but her grandmother was asleep and unaware. These acts only came to light in 2020, when the victim's stepfather confronted her about some messages she had sent to her ex-boyfriend.
The victim then tearfully revealed what her uncle had done to her, and was brought to make a police report.
The offender stopped the acts in 2017, when the victim started menstruating. The prosecution said the victim's relationship with her uncle improved in 2019, and she ""stopped resenting him as much"".
The defence urged the court to call for a probation suitability report, arguing that the offender was very young when the offences started and ignorant of the law then.
The defence also highlighted that the offender stopped the acts of his own accord, and not because he had been caught.
He cooperated fully with investigations and volunteered details that were not part of the allegations initially made against him, added the lawyer.
The prosecution did not object to the calling of a probation suitability report.
For each count of outraging the modesty of a minor, the man could be jailed up to five years, fined, caned or sentenced to any combination of these punishments.",0
"Fire breaks out at Beo Crescent flat, blaze linked to electric bicycle battery: SCDF","SINGAPORE: Firefighters from the Singapore Civil Defence Force (SCDF) extinguished a fire at Block 38 Beo Crescent on Friday (Apr 8). The fire, which involved the contents of a living room in a unit on the 10th floor, had originated from the battery pack of a power-assisted bicycle (PAB) which was charging in the living room at the time, according to preliminary investigations. The SCDF responded to the fire at about 8.15am on Friday. When officers arrived at the scene, the fire was raging, with thick black smoke coming from the unit. Firefighters donning breathing apparatus sets then extinguished the fire with a water jet. About 30 people from neighbouring units had self-evacuated prior to SCDF’s arrival. There were no reported injuries.  As a result of the fire, the entire unit and a section of the corridor were affected by heat and smoke damage, said SCDF. The Jalan Besar Town Council said in a Facebook post on Friday that several units were also affected, with the fire damaging the corridor and several power supply cables. ""Jalan Besar Town Council’s quick response team was activated and was on site to check on the affected residents,"" it said.
""We are also working closely with the relevant agencies such as Housing & Development Board (HDB) and Residents' Committee (RC) to assist those affected.""
SCDF reminded owners of personal mobility devices and power-assisted bicycles to not charge batteries for an extended period of time or overnight. They should also refrain from buying or using non-original batteries. ",0
Longer processing time of about 7 weeks for vehicle entry permit applications: LTA,"SINGAPORE: The Land Transport Authority (LTA) on Friday (Apr 8) warned of longer processing times for vehicle entry permit (VEP) applications amid an influx of submissions following the reopening of land borders with Malaysia last week.
The authority said it has received about 76,000 VEP applications as of Thursday – more than six times the weekly average before the land borders were closed during the COVID-19 pandemic. For the safety of all road users in Singapore, LTA added that it performs “thorough checks” of supporting documents submitted for VEP applications and renewals, including checking for valid vehicle insurance.
“Based on current volume, the processing time is about seven weeks. Applicants are notified of the processing time at the point of application,” it said.
In addition to planning ahead, LTA also “strongly encouraged” leisure travellers to defer their plans to allow those with essential travel needs, such as for employment or to reunite with their families, to make their trips. Applications must be done online via the VEP Digital Services on LTA's OneMotoring website as submissions will no longer be accepted at Singapore’s land checkpoints to facilitate traffic flow.
Applicants must provide clear copies of their identity card or passport, immigration pass card, vehicle registration certificate, vehicle certificate of insurance and vehicle road tax disc. Drivers of foreign-registered vehicles must have LTA’s VEP approval email and Autopass card before they travel.
Those without Autopass cards must collect their Autopass cards at LTA’s Johor Bahru Service Centre located at 34 Jalan Tun Abdul Razak Susur 1 before entering Singapore.",0
"Coach services between Singapore and KL, Genting now available after full border reopening","SINGAPORE: Following the full reopening of land borders earlier this month, travel agencies in Singapore have resumed coach services to destinations in Malaysia such as Kuala Lumpur and Genting. 
KKKL Travel & Tours said on its Facebook page on Wednesday (Apr 6) it was resuming direct trips between Singapore and Kuala Lumpur, as well as between Singapore and Melaka. Trips to destinations such as Genting Highlands, Tioman and Port Dickson are also in the works, it added. 
Checks on the KKKL website show one-way trips from Singapore to Kuala Lumpur are priced at between S$19 and S$36, while a journey to Malacca costs between S$23 and S$29. 
WTS Travel said on its Facebook page last Friday that it was resuming its coach services to Resorts World Genting. 
Priced from S$85 per ticket, the service is available from nine locations across Singapore, including Ang Mo Kio, Jurong East and Yishun. 
Starmart Express, another agency, listed 15 trips heading from Singapore to Kuala Lumpur on Saturday, priced at S$30 each. On Apr 1, Malaysia and Singapore fully reopened their land border - closed for two years due to the coronavirus pandemic - allowing fully vaccinated travellers to move via land between the two countries without quarantine or COVID-19 tests.
The Immigration and Checkpoints Authority reported that more than 33,700 travellers cleared the Woodlands and Tuas checkpoints on the first day of the border reopening. 
In addition, travel companies saw bookings for flights out of Singapore double last month after the country announced that it would reopen its borders to all fully vaccinated travellers. ",0
